,unique_id,winning_bid,hours_final,hours_final_nan,age_at_sale,age_at_sale_nan,bucket,bucket_bin,engine,tires,transmission,score,original_price,predicted_price
6039,rbauction_10105013,-0.5135733665429933,0.0,1,0.0,0,bkt,1,,,,27.744829943337283,9500.0,8776.3
2743,PW_J5843,-0.4377254814411016,0.03547320047498783,0,0.0,0,"72""W bucket",1,"82 HP, Deutz 3.1L four cylinder diesel engine",12-16.5 tires,Hydrostatic transmission,45.67655960889115,10499.999,9600.824
5660,rbauction_10426430,-0.402470456767821,0.24594535610055415,0,0.6666666666666666,0,bkt,1,,solid tires,,39.1752160507589,11000.002,11804.07
5779,rbauction_10624693,0.13985958538880894,-0.8731419182291339,0,-1.0,0,bkt,1,,,,36.82656555234767,22500.004,21025.098
1142,rbauction_10657147,0.3055924010504629,-0.2733275435375167,0,-0.6666666666666666,0,,0,,,,31.195013839592114,27999.998,24286.023
3392,PW_DF7714,0.18876986893083456,0.00981747068600663,0,-0.6666666666666666,0,"83""W bucket",1,"90 HP, Case four cylinder turbo diesel engine",12-16.5 tires,Hydrostatic transmission,39.65444333792451,23999.99,22097.96
10,rbauction_10444414,-0.008484730537539066,-1.897792087364884,0,-0.6666666666666666,0,,0,,,,25.92058334107481,18500.004,22298.033
2955,PW_L4189,-0.3055924010504629,0.0,1,0.3333333333333333,0,"66""W low profile bucket",1,Kubota V2003TE 2.0L four cylinder turbo diesel engine,Caterpillar 10-16.5 NHS tires,Hydrostatic transmission,24.457244594831373,12500.001,11080.441
3669,rbauction_10660236,-0.1931128399187525,0.9779169343503616,0,-0.6666666666666666,0,bkt,1,,,,36.8630780084964,14499.993,15522.834
5967,rbauction_11151819,-0.8618282712179406,0.0,1,0.3333333333333333,0,bkt,1,,,,26.010421079040842,5999.9976,5194.0312
4407,rbauction_10832217,0.10540609052412186,-1.0009600755616137,0,0.3333333333333333,0,bkt,1,,,,23.05188159055336,21500.0,20519.355
6144,rbauction_10519555,-0.7450057390983122,0.2065241776846878,0,1.0,0,bkt,1,,,,29.659285408473732,6999.9995,6340.9487
2974,PW_DA7302,0.263865549143798,-0.6132899512847061,0,-0.6666666666666666,0,"Bobcat 74HI 74""W bucket",1,3.4L four cylinder diesel engine,12-16.5 tires,Two speed hydrostatic transmission,20.876994747313415,26500.008,25089.701
3016,PW_K3960,-0.27586912621808235,0.3784359559867987,0,0.3333333333333333,0,"67""W bucket",1,Kubota V2003 2.0L four cylinder turbo diesel engine,Solideal Extra-Wall 10-16.5 tires,Hydrostatic transmission,21.33066527647847,13000.003,11737.761
3535,rbauction_10729576,-0.16742067226840174,0.7571432895026685,0,-0.3333333333333333,0,bkt,1,,,,40.04616565679969,15000.002,13667.26
4781,rbauction_10370502,-0.5135733665429933,0.1957279535000191,0,0.6666666666666666,0,,0,,,,39.601171399206855,9500.0,9750.946
2304,PW_A3098,-0.02924894348634055,0.031910333845221635,0,-0.6666666666666666,0,"79"" bucket with bolt-on teeth, Pin and bushing wearing in bucket",1,Kubota 81 HP diesel engine,,,33.87170698208081,18000.002,17051.213
2895,PW_K1990,0.08757358863328601,-0.5510448871648393,0,-1.0,0,Case 735059016 low profile bucket,1,Cummins four cylinder diesel engine,12x16.5 tires,Hydrostatic transmission,33.21617798599906,20999.99,21737.465
4552,rbauction_10470544,-0.4377254814411016,1.1333894916765996,0,0.6666666666666666,0,bkt,1,,,,27.9393958318013,10499.999,12928.318
2679,PW_K2877,-0.6533422431519806,0.5293767279663301,0,1.0,0,,0,New Holland three cylinder diesel engine,12-16.5 NHS tires,Hydrostatic transmission,44.325687341058206,7899.999,6809.381
1845,rbauction_11102020,-0.02924894348634055,-1.0165276102460592,0,-0.6666666666666666,0,bkt,1,,,,43.998650909956034,18000.002,16330.681
3460,rbauction_10090693,-0.24726775590351655,-0.6974092640649673,0,-0.3333333333333333,0,bkt,1,,solid tires,,26.464974082069673,13499.996,12884.538
2099,rbauction_10348353,0.21970666902392466,-0.4743707844871908,0,-1.0,0,bkt,1,,,,29.22330251152181,24999.992,23807.861
569,rbauction_10621928,0.18876986893083456,-0.0288523609105933,0,0.0,0,,0,,,,44.60251811126593,23999.99,23694.947
537,rbauction_10462114,0.24942994385630435,-0.08865592752479895,0,-0.6666666666666666,0,bkt,1,,,,23.52993909989461,25999.994,28070.018
3991,rbauction_11190036,-0.4747009299256124,1.094159572788855,0,0.0,0,bkt,1,,,,24.12568864949708,10000.001,8805.777
5651,rbauction_10496733,-0.27586912621808235,0.06956905569179556,0,0.6666666666666666,0,bkt,1,,,,24.557487555690585,13000.003,13388.706
4233,rbauction_10118620,0.5567102015135168,-1.1895721061866305,0,-1.0,0,hyd Q/C bkt,1,,solid tires,,22.013113696435536,38999.992,37266.9
3201,PW_DE1710,-0.9702767251676204,0.555111448380751,0,1.0,0,,0,Four cylinder diesel engine,Deestone 14-17.5 tires,Hydrostatic transmission,26.449658060137963,5199.9985,5313.124
2868,PW_K4707,-0.4747009299256124,0.5546740751547026,0,0.0,0,,0,Kubota four cylinder turbo diesel engine,12 x 16.5 tires,Hydrostatic transmission,20.92123327631011,10000.001,10839.434
3227,PW_DV9322,-0.7669738385010474,-0.23326316761680885,0,1.3333333333333333,0,"72""W bucket",1,Case four cylinder diesel engine,12-16.5 tires,Hydrostatic transmission,27.046630764933052,6799.997,6771.8394
3380,PW_DE7594,-0.5715789856429714,0.571572263637282,0,1.0,0,"60""W bucket",1,New Holland 332T/JF 3.2L turbo diesel engine,"Additional 12-16.5 solid tires, Solideal 33 x 12-20 solid tires",Two speed hydrostatic transmission,33.76829090107387,8800.001,7786.3975
2282,PW_8119,-0.3055924010504629,0.5271225033720862,0,0.3333333333333333,0,"6' bucket, Quick attach bucket",1,56 HP four cylinder diesel engine,12-16.5NHS tires,,37.05478368087702,12500.001,13520.431
1408,rbauction_10464219,0.0314111314391301,0.16899086825999693,0,-0.6666666666666666,0,bkt,1,,,,23.6498085575146,19500.006,17651.633
5830,ironplanet_2017299,-0.27586912621808235,-1.1475576712784612,0,-0.6666666666666666,0,,0,Ultra Low Sulfur Diesel,,,17.580273201700283,13000.003,12002.965
604,rbauction_10811454,-0.6927197423427893,1.1801110014177387,0,0.3333333333333333,0,bkt,1,,solid tires,,25.032564540118052,7499.9976,9012.632
