,unique_id,make,model,winning_bid,hours_final,age_at_sale,score,bucket,engine,tires,transmission,month_sold
1298,rbauction_10685252,BOBCAT,S650,19500,1088.0,6.0,28.244694791686722,bkt,,,,Jun
1299,bigiron_AB1054,DEERE,320 D,8500,840.0,3.0,22.773989518465186,"Bucket 70""",John Deere 4024 62 HP Diesel Eng,Tires: 12-16.5,,Dec
1300,rbauction_10550323,NEW HOLLAND,L160,8000,,12.0,42.488718399084895,bkt,,cushion tires,,Apr
1301,rbauction_10452049,BOBCAT,S770 2 SPD HIGH FLOW,27000,2154.0,3.0,28.31561860453977,bkt,,,,Dec
1302,rbauction_10471077,CASE,445 SERIES 3 MINI,9000,6493.0,,48.82546057280839,bkt,,solid tires,,Mar
1303,rbauction_10311671,CATERPILLAR,246C,21000,849.0,3.0,52.37456269603129,bkt,,,,Dec
1304,rbauction_11207382,BOBCAT,S450,13500,,3.0,16.011722598894305,,,aperture tires,,May
1305,rbauction_11037743,CATERPILLAR,226B3,19000,2714.0,3.0,37.26877907070065,bkt,,,,Feb
1306,rbauction_10186684,DEERE,280,8500,3101.0,15.0,31.19412886575665,bkt,,,,Sep
1307,rbauction_10294781,CATERPILLAR,246B,15000,1343.0,9.0,29.512636237575606,bkt,,,,Nov
1308,rbauction_10673834,CASE,SR220,17000,232.0,3.0,25.736599005721043,bkt,,,,Jun
1309,rbauction_10607660,CATERPILLAR,252B,15000,2400.0,12.0,28.591802034733114,bkt,,,,May
1310,rbauction_10171297,BOBCAT,843,11000,6307.0,,31.52446483870449,,,,,Sep
1311,rbauction_10917328,CATERPILLAR,246B,12000,561.0,12.0,51.688775613892425,bkt,,,,Nov
1312,rbauction_10369248,CATERPILLAR,262C2 2 SPD,26000,1792.0,6.0,41.2970846728112,4-in-1 bkt,,solid tires,,Feb
1313,rbauction_10631467,BOBCAT,S185,16500,1732.0,3.0,35.91479868960987,bkt,,,,Jun
1314,bigiron_AF1482,BOBCAT,751,5900,5898.0,,24.219804112847875,,Diesel Engine,Tires: 10-16.5 Nhs,,Dec
1315,rbauction_10297973,BOBCAT,S570,17000,,3.0,28.228698669809578,bkt,,,,Nov
1316,rbauction_10539469,CATERPILLAR,248B XPS HIGH FLOW,13000,2423.0,12.0,38.18073817967277,,,solid tires,,Jun
1317,rbauction_10728285,BOBCAT,7753,12500,,24.0,20.30952070172023,bkt,,,,Aug
1318,rbauction_10756129,CASE,430,9000,1000.0,9.0,55.87117867887992,bkt,,,,Aug
1319,rbauction_11032400,BOBCAT,773G,7500,,15.0,18.473832401356017,bkt,,,,Apr
1320,rbauction_10480608,BOBCAT,S160 HIGH FLOW,10000,3650.0,12.0,21.012219413926612,bkt,,,,Mar
1321,rbauction_11253748,BOBCAT,753,9500,3727.0,18.0,30.888571198752594,bkt,,,,May
1322,rbauction_10346179,BOBCAT,S150,13000,,3.0,52.84005648259421,,,,,Dec
1323,rbauction_10517189,BOBCAT,S175,15000,1826.0,6.0,49.305860411577434,bkt,,,,Mar
1324,rbauction_10916809,BOBCAT,S510,13000,3840.0,3.0,57.93358975255468,bkt,,,,Nov
1325,rbauction_10326063,VOLVO,MC70C,14500,643.0,3.0,29.75992695748821,bkt,,,,Dec
1326,rbauction_10166017,TEREX,TSV80,13000,100.0,6.0,18.083154346124168,bkt,,,,Aug
